{978db893-e3d5-11eb-80d7-806e6f6e6963} Ural
{d0ded225-4d21-11ec-af4d-806e6f6e6963} CodeCracker
{4eb7ce9e-c57f-1da2-3e77-2322de32e722} LuisX
{75f971f4-77a7-a0fc-f299-9c4143d1eb08} Crawl
{7e477186-b859-11e8-bd5e-806e6f6e6963} CodeCracker 2.PC
{4c128bb8-f5b3-71a5-2e71-745eb2fdaf91} irfan
{a8ec4a40-007a-11eb-aa99-806e6f6e6963} Hilmi
{43705932-5fe7-11ec-8971-806e6f6e6963} CodeCracker 
{e1f8dec3-a5e9-0550-a1c0-f011fec01fe3} lukens
{f5541208-5e9c-11ec-8ce7-806e6f6e6963} bybisey
{3be2ffc0-5f1f-11ec-a222-806e6f6e6963} frystions
